"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"ENSMUSG00000059743",1542.00710664817,1.50947292268999,0.254939284170153,5.24874027658813e-10,3.8849235775464e-08
"ENSMUSG00000030825",164.369548829425,-2.27932658271699,0.38144389637865,5.65846796258378e-10,4.165550009861e-08
"ENSMUSG00000026837",44.8338603558008,2.51368724632761,0.437427331623771,5.98040655711628e-10,4.37887940329928e-08
"ENSMUSG00000025855",18.3119218452998,4.95392490917858,0.847660559625667,6.26571336684561e-10,4.56324868144761e-08
"ENSMUSG00000024589",74.1276981795855,2.19376921468092,0.378536149994223,6.80944454205225e-10,4.93286304352179e-08
"ENSMUSG00000116673",356.661672232321,-1.42061849960967,0.24119875235101,6.94269425374505e-10,5.00278058421978e-08
"ENSMUSG00000044080",43.5767894088271,3.11884493256186,0.547059698614595,7.6123415527014e-10,5.45644629506528e-08
"ENSMUSG00000022900",86.263147119636,-3.06553968174071,0.534065799509023,7.7889497573569e-10,5.52488055965853e-08
"ENSMUSG00000068744",622.091855021782,-1.32047457031953,0.222748767366827,7.78580256549425e-10,5.52488055965853e-08
"ENSMUSG00000000631",210.230752573661,2.37891550618629,0.417113065760628,7.93869108260633e-10,5.60191885253967e-08
"ENSMUSG00000020027",1785.29655474255,-0.811873699560029,0.135366993112277,8.28873848736775e-10,5.79862677053629e-08
"ENSMUSG00000020085",42.3364859722927,2.49619670164507,0.437416095683148,8.30260826973035e-10,5.79862677053629e-08
"ENSMUSG00000028100",33.109108611004,2.70981707891762,0.468447911130519,8.36940283271831e-10,5.8154539376934e-08
"ENSMUSG00000112819",352.243204380778,-2.78879204022831,0.503563638972362,8.75780886279644e-10,6.05444664479313e-08
"ENSMUSG00000025856",1306.75690795783,-1.74852391710977,0.299247788696089,8.96459773052624e-10,6.16610386323419e-08
"ENSMUSG00000025402",43.5509107373192,2.73184434723207,0.467428208721423,9.10850949456595e-10,6.23360757821577e-08
"ENSMUSG00000024352",57.2052993828495,2.72331523530227,0.492609611631142,9.42405224244419e-10,6.41730837449237e-08
"ENSMUSG00000030844",32.887697497105,3.74632213358452,0.669496378450521,9.60535420226571e-10,6.50822481993317e-08
"ENSMUSG00000032423",1352.15786419958,-1.0383277649049,0.174070967121282,1.00562142475729e-09,6.75212249060091e-08
"ENSMUSG00000017737",19.1682757856187,5.85486779137121,1.00410618959091,1.00644751126513e-09,6.75212249060091e-08
